64,q,71637778,71637806,HSP,-
65,s,69580998,69580970,HSP,-
66,q,71639743,71639768,HSP,+
67,s,69599158,69599183,HSP,+
68,q,71682453,71682472,HSP,-
69,s,69601402,69601383,HSP,-
70,q,71681402,71681448,HSP,+
71,s,69613974,69614022,HSP,+
72,q,71682282,71682313,HSP,+
73,s,69615877,69615908,HSP,+
74,q,71690951,71690979,HSP,+
75,s,69624465,69624493,HSP,+
76,q,71658524,71658551,HSP,+
77,s,69611375,69611402,HSP,+
78,q,71658645,71658663,HSP,+
79,s,69611501,69611519,HSP,+
80,q,71658736,71658754,HSP,+
81,s,69611701,69611719,HSP,+
82,q,71637779,71637809,HSP,+
83,s,69611956,69611986,HSP,+
84,q,71686582,71686603,HSP,+
85,s,69620237,69620258,HSP,+
86,q,71637932,71637956,HSP,+
87,s,69623189,69623213,HSP,+
88,q,71637993,71638022,HSP,-
89,s,69580996,69580967,HSP,-
90,q,71637928,71637954,HSP,-
91,s,69580993,69580967,HSP,-
92,q,71637782,71637805,HSP,-
93,s,69580990,69580967,HSP,-
94,q,71637928,71637954,HSP,-
95,s,69580995,69580969,HSP,-
96,q,71633601,71633621,HSP,+
97,s,69592234,69592254,HSP,+
98,q,71637796,71637813,HSP,-
99,s,69616307,69616290,HSP,-
100,q,71687620,71687637,HSP,-
101,s,69616962,69616945,HSP,-
102,q,71686992,71687015,HSP,+
103,s,69620617,69620640,HSP,+
104,q,71637783,71637806,HSP,+
105,s,69623187,69623210,HSP,+
106,q,71637782,71637805,HSP,+
107,s,69623188,69623211,HSP,+
108,q,71658924,71658943,HSP,-
109,s,69572189,69572170,HSP,-
110,q,71658923,71658942,HSP,-
111,s,69572189,69572170,HSP,-
112,q,71658922,71658941,HSP,-
113,s,69572189,69572170,HSP,-
114,q,71674462,71674484,HSP,-
115,s,69572193,69572171,HSP,-
116,q,71637928,71637950,HSP,-
117,s,69580987,69580965,HSP,-
118,q,71690804,71690823,HSP,+
119,s,69582138,69582157,HSP,+
120,q,71681630,71681649,HSP,+
121,s,69592132,69592151,HSP,+
122,q,71643025,71643050,HSP,+
123,s,69602633,69602658,HSP,+
124,q,71658576,71658604,HSP,+
125,s,69611431,69611459,HSP,+
126,q,71681096,71681121,HSP,+
127,s,69613566,69613591,HSP,+
128,q,71679505,71679530,HSP,-
129,s,69616301,69616276,HSP,-
130,q,71682763,71682791,HSP,+
131,s,69616420,69616448,HSP,+
132,q,71637932,71637954,HSP,+
133,s,69623187,69623209,HSP,+
134,q,71658850,71658865,HSP,+
135,s,69569091,69569106,HSP,+
136,q,71636240,71636267,HSP,+
137,s,69580967,69580994,HSP,+
138,q,71636240,71636267,HSP,+
139,s,69580969,69580996,HSP,+
140,q,71637933,71637954,HSP,-
141,s,69580996,69580975,HSP,-
142,q,71641055,71641070,HSP,+
143,s,69588097,69588112,HSP,+
144,q,71680643,71680658,HSP,-
145,s,69601399,69601384,HSP,-
146,q,71683312,71683330,HSP,+
147,s,69616480,69616498,HSP,+
148,q,71665930,71665945,HSP,-
149,s,69621152,69621137,HSP,-
150,q,71690088,71690103,HSP,+
151,s,69622774,69622789,HSP,+
152,q,71637928,71637952,HSP,+
153,s,69623187,69623211,HSP,+
154,q,71657337,71657351,HSP,-
155,s,69571326,69571312,HSP,-
156,q,71679509,71679523,HSP,-
157,s,69572185,69572171,HSP,-
158,q,71683921,71683935,HSP,-
159,s,69575642,69575628,HSP,-
160,q,71683923,71683937,HSP,-
161,s,69575643,69575629,HSP,-
162,q,71645750,71645773,HSP,-
163,s,69576277,69576254,HSP,-
164,q,71645750,71645773,HSP,-
165,s,69576280,69576257,HSP,-
166,q,71657631,71657651,HSP,+
167,s,69576268,69576288,HSP,+
168,q,71637993,71638016,HSP,-
